scenario,take_uid,tracked_object,camera,total_displacement
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,bike chain brush pack_0,aria01_214-1,10242.24
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,bike chain brush pack_1,aria01_214-1,8680.58
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,bike chain brush pack_1,cam01,0.0
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,blue liquid container_0,aria01_214-1,12836.54
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,water bottle_0,aria01_214-1,4404.61
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,water bottle_0,cam01,1925.8
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,bicycle wheel_0,aria02_214-1,10231.78
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,bicycle wheel_0,cam03,2297.62
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,bicycle_0,aria02_214-1,8926.18
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,bicycle_0,cam03,828.16
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,socket wrench_0,aria02_214-1,7973.45
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,socket wrench_0,cam04,4499.29
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,socket wrench_1,aria02_214-1,6125.91
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,socket wrench_1,cam04,4851.34
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,Bicycle Pump_0,aria01_214-1,20328.72
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,Bicycle Pump_0,cam01,4087.86
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,New Bicycle Tube Pack_0,aria01_214-1,3337.41
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,New Bicycle Tube Pack_0,cam01,1963.03
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,New Bicycle Tube_0,aria01_214-1,10350.54
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,New Tube Wrapper_0,aria01_214-1,4276.57
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,New Tube Wrapper_0,cam01,1602.33
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle fork_0,aria01_214-1,8131.37
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle fork_0,cam02,619.51
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle repair stand_0,aria01_214-1,9998.37
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle repair stand_0,cam02,577.04
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle wheel_0,aria01_214-1,7704.99
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle wheel_0,cam02,1662.21
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle_0,aria01_214-1,11390.11
bike repair,673f2b3e-413a-4450-aca8-ffbfb56db7be,bicycle tire tube_0,aria01_214-1,6211.52
bike repair,673f2b3e-413a-4450-aca8-ffbfb56db7be,bicycle tire tube_0,cam01,5669.4
bike repair,673f2b3e-413a-4450-aca8-ffbfb56db7be,tire pump_0,aria01_214-1,14961.83
bike repair,673f2b3e-413a-4450-aca8-ffbfb56db7be,tire pump_0,cam01,2480.6
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle fork_0,aria01_214-1,1357.61
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle fork_0,cam04,546.49
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle grip_0,aria01_214-1,2848.25
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle grip_0,cam04,368.19
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle stand_0,aria01_214-1,3665.01
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle stand_0,cam04,47.62
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle wheel_0,aria01_214-1,1713.64
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle wheel_0,cam04,1908.09
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,black tools trolley_0,aria01_214-1,1510.69
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,black tools trolley_0,cam04,1863.67
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,bicycle_chain_cleaning_brush_0,aria01_214-1,23230.58
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,bicycle_chain_cleaning_brush_0,cam01,372.25
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,bicycle_pedal_0,aria01_214-1,32538.88
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,bicycle_pedal_0,cam01,1695.6
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,steel_table_0,aria01_214-1,3212.84
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,steel_table_0,cam01,2894.19
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,water_bottle_0,aria01_214-1,2396.09
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,white_napkin_0,aria01_214-1,17659.98
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,white_napkin_0,cam01,5849.03
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,Inner tube_0,aria03_214-1,10733.04
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,bicycle stand_0,aria03_214-1,20628.67
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,bicycle stand_0,cam03,832.66
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,bike chain_0,aria03_214-1,10455.51
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,blue and white toothbrush_0,aria03_214-1,16070.32
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,bottle water_0,aria03_214-1,16417.72
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,bicycle tube_0,aria02_214-1,7872.48
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,bicycle tube_0,cam03,3393.02
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,bicycle wheel_0,aria02_214-1,9525.81
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,bicycle wheel_0,cam03,3339.94
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,socket wrench_0,aria02_214-1,4416.21
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,socket wrench_0,cam03,3593.53
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,socket wrench_1,aria02_214-1,3706.4
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,socket wrench_1,cam01,3670.42
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_handle_knife_0,aria01_214-1,30416.15
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_handle_knife_0,gp01,4302.1
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_tea_package_0,aria01_214-1,6942.18
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_tea_package_0,gp04,645.22
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_tea_sachet_0,aria01_214-1,2260.24
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_tea_sachet_0,gp02,551.03
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,blue_chopping_board_0,aria01_214-1,36007.78
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,blue_chopping_board_0,gp03,7230.61
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,electric_kettle_0,aria01_214-1,33065.06
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,electric_kettle_0,gp03,9163.83
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,kitchen_paper_0,aria01_214-1,1294.97
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,kitchen_paper_0,gp01,2688.43
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,nonstick_pan_0,aria01_214-1,26498.25
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,nonstick_pan_0,gp03,2004.36
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,patterned mug_0,aria01_214-1,17326.66
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,patterned mug_0,gp02,3664.86
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,sesame- ginger_asian_salad_0,aria01_214-1,21612.5
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,sesame- ginger_asian_salad_0,gp01,116.66
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,stainless_spoon_0,aria01_214-1,14978.23
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,stainless_spoon_0,gp04,2127.78
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,white_bowl_0,aria01_214-1,21514.42
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,white_bowl_0,gp01,136.76
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,white_bowl_1,aria01_214-1,27935.28
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,white_bowl_1,gp03,391.62
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,broken egg_0,aria01_214-1,12207.35
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,broken egg_0,cam01,0.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,chilli pepper container_0,aria01_214-1,34905.35
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,chilli pepper container_0,cam02,1337.64
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,egg container carrier _0,aria01_214-1,18933.8
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,egg omelet_0,aria01_214-1,1344.79
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,frying pan_0,aria01_214-1,25512.76
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,frying pan_0,cam02,3549.21
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,garlic container_0,aria01_214-1,25926.22
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,garlic container_0,cam02,1015.27
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,gas lighter_0,aria01_214-1,12870.88
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,gas lighter_0,cam02,3378.13
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,measuring spoon_0,aria01_214-1,610.25
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,measuring spoon_1,aria01_214-1,362.22
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,metal bowl_0,aria01_214-1,30858.28
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,metal bowl_0,cam02,6794.3
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,salt container_0,aria01_214-1,28420.49
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,salt container_0,cam02,1092.04
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,steel bowl_0,aria01_214-1,34949.73
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,steel dinner plate_0,aria01_214-1,5509.75
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,steel dinner plate_0,cam01,3327.32
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,turmeric container_0,aria01_214-1,31557.2
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,turmeric container_0,cam02,4401.27
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,Steam food pan_0,aria02_214-1,13808.65
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,Steam food pan_0,cam01,303.5
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,bell pepper_0,aria02_214-1,26047.43
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,bell pepper_0,cam01,1759.24
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,celery_0,aria02_214-1,5297.82
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,celery_0,cam02,590.23
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,knife_0,aria02_214-1,26476.27
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,knife_0,cam01,9853.8
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,metallic bowl_0,aria02_214-1,36010.81
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,metallic bowl_0,cam01,4756.32
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,paper towel_0,aria02_214-1,37798.81
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,paper towel_0,cam01,2295.14
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,towel holder_0,aria02_214-1,25069.58
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,towel holder_0,cam01,4.38
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,white bowl_0,aria02_214-1,26952.88
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,white bowl_0,cam01,1115.81
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,wooden chopping board_0,aria02_214-1,27666.29
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,wooden chopping board_0,cam01,2439.55
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,black plastic bin_0,aria03_214-1,5229.43
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,carrot_0,aria03_214-1,40923.31
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,carrot_0,cam04,8591.55
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,celery_0,aria03_214-1,77695.29
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,chopped carrot_0,aria03_214-1,16167.22
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,chopped celery_0,aria03_214-1,690.25
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,chopped celery_0,cam04,391.61
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,clear plastic container_0,aria03_214-1,58702.77
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,clear plastic container_0,cam04,3399.18
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,paper towel_0,aria03_214-1,76080.81
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,sesame seed container_0,aria03_214-1,114767.1
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,soy sauce bottle_0,aria03_214-1,100311.05
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,stainless steel counter_0,aria03_214-1,72705.51
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,white ceramic plate_0,aria03_214-1,86920.72
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,white ceramic plate_0,cam04,5310.13
cooking,75cc6a20-2451-4922-844b-3e376e095657,black handle scissors _0,aria02_214-1,14739.52
cooking,75cc6a20-2451-4922-844b-3e376e095657,black handle scissors _0,cam02,1625.8
cooking,75cc6a20-2451-4922-844b-3e376e095657,mesh strainer_0,aria02_214-1,46005.19
cooking,75cc6a20-2451-4922-844b-3e376e095657,mesh strainer_0,cam02,3021.82
cooking,75cc6a20-2451-4922-844b-3e376e095657,plastic waste bin_0,aria02_214-1,755.72
cooking,75cc6a20-2451-4922-844b-3e376e095657,white mug_0,aria02_214-1,47179.85
cooking,75cc6a20-2451-4922-844b-3e376e095657,white mug_0,cam04,2111.81
cooking,8acb2112-465c-4088-b502-65fd9704dd77,black knife_0,aria01_214-1,79009.59
cooking,8acb2112-465c-4088-b502-65fd9704dd77,black saucepan _0,aria01_214-1,88669.73
cooking,8acb2112-465c-4088-b502-65fd9704dd77,black saucepan _0,gp03,7359.09
cooking,8acb2112-465c-4088-b502-65fd9704dd77,celery package _0,aria01_214-1,4020.75
cooking,8acb2112-465c-4088-b502-65fd9704dd77,celery_0,aria01_214-1,1735.27
cooking,8acb2112-465c-4088-b502-65fd9704dd77,celery_0,gp02,2856.86
cooking,8acb2112-465c-4088-b502-65fd9704dd77,cooked noodles_0,aria01_214-1,1476.56
cooking,8acb2112-465c-4088-b502-65fd9704dd77,cooked noodles_0,gp04,1685.93
cooking,8acb2112-465c-4088-b502-65fd9704dd77,ginger package_0,aria01_214-1,61828.39
cooking,8acb2112-465c-4088-b502-65fd9704dd77,ginger package_0,gp03,1919.69
cooking,8acb2112-465c-4088-b502-65fd9704dd77,glass mug_0,aria01_214-1,86312.97
cooking,8acb2112-465c-4088-b502-65fd9704dd77,glass mug_0,gp04,1042.07
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles package_0,aria01_214-1,40117.58
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles package_1,aria01_214-1,34958.77
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles package_1,gp03,2761.67
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles_0,aria01_214-1,38170.16
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles_0,gp03,3998.67
cooking,8acb2112-465c-4088-b502-65fd9704dd77,oil bottle_0,aria01_214-1,47053.79
cooking,8acb2112-465c-4088-b502-65fd9704dd77,onion package_0,aria01_214-1,2563.62
cooking,8acb2112-465c-4088-b502-65fd9704dd77,oyster sauce bottle_0,aria01_214-1,92912.1
cooking,8acb2112-465c-4088-b502-65fd9704dd77,oyster sauce bottle_0,gp03,2856.57
cooking,8acb2112-465c-4088-b502-65fd9704dd77,salt container _0,aria01_214-1,107111.66
cooking,8acb2112-465c-4088-b502-65fd9704dd77,salt container _0,gp02,3216.22
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white bowl_0,aria01_214-1,35489.03
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white bowl_0,gp01,2924.08
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white bowl_1,aria01_214-1,5261.34
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white bowl_1,gp01,2873.43
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white electric kettle_0,aria01_214-1,58992.45
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white electric kettle_0,gp02,13632.06
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white kitchen tongs_0,aria01_214-1,108310.21
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,cucumber_0,aria01_214-1,452.46
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,green knife_0,aria01_214-1,6018.0
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,green knife_0,cam01,4523.33
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,white bowl_0,aria01_214-1,5620.97
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,white bowl_0,cam01,2100.95
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,wooden chopping board_0,aria01_214-1,7381.25
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,wooden chopping board_0,cam01,1542.37
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Chopping Board_0,aria01_214-1,32403.56
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Chopping Board_0,cam01,375.36
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Gas Lighter_0,aria01_214-1,30235.39
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Gas Lighter_0,cam01,1370.27
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Green Onion_0,aria01_214-1,9072.75
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Pasteurized Butter Pack_0,aria01_214-1,17538.19
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Pasteurized Butter Pack_0,cam01,401.09
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Pizza Blend Pack_0,aria01_214-1,24387.97
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Pizza Blend Pack_0,cam01,2882.13
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Skillet_0,aria01_214-1,29826.36
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Skillet_0,cam01,7170.32
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Sliced Tomato_0,aria01_214-1,31051.52
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Sliced Tomato_0,cam01,962.41
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Stainless Steel Bowl_0,aria01_214-1,35991.75
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Stainless Steel Bowl_0,cam01,3475.46
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Stainless Steel Flat Plate_0,aria01_214-1,14741.84
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Stainless Steel Flat Plate_0,cam01,5778.02
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,bowl of milk_0,aria01_214-1,9340.53
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,bowl of milk_0,cam01,3648.15
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,cloth napkin_0,aria01_214-1,12396.75
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,cloth napkin_0,cam01,3420.87
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,plastic container of sugar_0,aria01_214-1,8237.1
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,plastic container of sugar_0,cam01,3132.58
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,plate_0,aria01_214-1,8398.0
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,plate_0,cam01,1317.78
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,saucepan_0,aria01_214-1,11554.19
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,saucepan_0,cam01,3548.95
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,chopping board_0,aria01_214-1,45190.03
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,egg carton_0,aria01_214-1,4454.41
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,egg carton_0,gp03,2171.95
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,kitchen knife_0,aria01_214-1,39027.11
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,kitchen knife_0,gp02,5768.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,kitchen paper_0,aria01_214-1,26702.73
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,kitchen paper_0,gp03,885.93
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,leek package_0,aria01_214-1,20048.23
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,leek package_0,gp01,368.2
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,nonstick frying pan_0,aria01_214-1,42215.48
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,nonstick frying pan_0,gp03,5649.63
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,scrambled egg_0,aria01_214-1,1280.43
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,scrambled egg_0,gp01,13.11
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,spaghetti tong_0,aria01_214-1,40305.7
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,spaghetti_0,aria01_214-1,16789.7
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,spaghetti_0,gp02,2905.4
