scenario,take_uid,tracked_object,camera,n_annotated_frames,frame_span,temporal_density
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Fork_0,aria07_214-1,42,1230,1.0
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Fork_0,cam04,42,1230,1.0
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Handlebar_0,aria07_214-1,42,1230,1.0
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Handlebar_0,cam04,42,1230,1.0
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Wrench_0,aria07_214-1,42,1230,1.0
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Wrench_0,cam04,42,1230,1.0
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,bike chain brush pack_0,aria01_214-1,295,8820,1.0
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,bike chain brush pack_1,aria01_214-1,295,8820,1.0
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,bike chain brush pack_1,cam01,295,8820,1.0
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,blue liquid container_0,aria01_214-1,295,8820,1.0
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,blue liquid container_0,cam01,295,8820,1.0
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,water bottle_0,aria01_214-1,295,8820,1.0
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,water bottle_0,cam01,295,8820,1.0
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,bicycle wheel_0,aria02_214-1,60,1770,1.0
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,bicycle wheel_0,cam03,60,1770,1.0
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,bicycle_0,aria02_214-1,60,1770,1.0
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,bicycle_0,cam03,60,1770,1.0
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,socket wrench_0,aria02_214-1,60,1770,1.0
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,socket wrench_0,cam04,60,1770,1.0
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,socket wrench_1,aria02_214-1,60,1770,1.0
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,socket wrench_1,cam04,60,1770,1.0
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,Bicycle Pump_0,aria01_214-1,258,7710,1.0
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,Bicycle Pump_0,cam01,258,7710,1.0
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,New Bicycle Tube Pack_0,aria01_214-1,258,7710,1.0
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,New Bicycle Tube Pack_0,cam01,258,7710,1.0
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,New Bicycle Tube_0,aria01_214-1,258,7710,1.0
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,New Tube Wrapper_0,aria01_214-1,258,7710,1.0
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,New Tube Wrapper_0,cam01,258,7710,1.0
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle fork_0,aria01_214-1,66,1950,1.0
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle fork_0,cam02,66,1950,1.0
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle repair stand_0,aria01_214-1,66,1950,1.0
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle repair stand_0,cam02,66,1950,1.0
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle wheel_0,aria01_214-1,66,1950,1.0
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle wheel_0,cam02,66,1950,1.0
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle_0,aria01_214-1,66,1950,1.0
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle_0,cam02,66,1950,1.0
bike repair,673f2b3e-413a-4450-aca8-ffbfb56db7be,bicycle tire tube_0,aria01_214-1,135,4020,1.0
bike repair,673f2b3e-413a-4450-aca8-ffbfb56db7be,bicycle tire tube_0,cam01,135,4020,1.0
bike repair,673f2b3e-413a-4450-aca8-ffbfb56db7be,tire pump_0,aria01_214-1,135,4020,1.0
bike repair,673f2b3e-413a-4450-aca8-ffbfb56db7be,tire pump_0,cam01,135,4020,1.0
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle fork_0,aria01_214-1,20,570,1.0
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle fork_0,cam04,20,570,1.0
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle grip_0,aria01_214-1,20,570,1.0
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle grip_0,cam04,20,570,1.0
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle stand_0,aria01_214-1,20,570,1.0
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle stand_0,cam04,20,570,1.0
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle wheel_0,aria01_214-1,20,570,1.0
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle wheel_0,cam04,20,570,1.0
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,black tools trolley_0,aria01_214-1,20,570,1.0
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,black tools trolley_0,cam04,20,570,1.0
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,bicycle_chain_cleaning_brush_0,aria01_214-1,272,8130,1.0
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,bicycle_chain_cleaning_brush_0,cam01,272,8130,1.0
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,bicycle_pedal_0,aria01_214-1,272,8130,1.0
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,bicycle_pedal_0,cam01,272,8130,1.0
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,steel_table_0,aria01_214-1,272,8130,1.0
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,steel_table_0,cam01,272,8130,1.0
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,water_bottle_0,aria01_214-1,272,8130,1.0
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,white_napkin_0,aria01_214-1,272,8130,1.0
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,white_napkin_0,cam01,272,8130,1.0
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,Inner tube_0,aria03_214-1,145,4320,1.0
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,bicycle stand_0,aria03_214-1,145,4320,1.0
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,bicycle stand_0,cam03,145,4320,1.0
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,bike chain_0,aria03_214-1,145,4320,1.0
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,blue and white toothbrush_0,aria03_214-1,145,4320,1.0
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,bottle water_0,aria03_214-1,145,4320,1.0
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,bicycle tube_0,aria02_214-1,103,3060,1.0
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,bicycle tube_0,cam03,103,3060,1.0
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,bicycle wheel_0,aria02_214-1,103,3060,1.0
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,bicycle wheel_0,cam03,103,3060,1.0
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,socket wrench_0,aria02_214-1,103,3060,1.0
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,socket wrench_0,cam03,103,3060,1.0
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,socket wrench_1,aria02_214-1,103,3060,1.0
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,socket wrench_1,cam01,103,3060,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_handle_knife_0,aria01_214-1,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_handle_knife_0,gp01,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_tea_package_0,aria01_214-1,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_tea_package_0,gp04,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_tea_sachet_0,aria01_214-1,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_tea_sachet_0,gp02,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,blue_chopping_board_0,aria01_214-1,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,blue_chopping_board_0,gp03,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,electric_kettle_0,aria01_214-1,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,electric_kettle_0,gp03,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,kitchen_paper_0,aria01_214-1,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,kitchen_paper_0,gp01,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,nonstick_pan_0,aria01_214-1,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,nonstick_pan_0,gp03,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,patterned mug_0,aria01_214-1,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,patterned mug_0,gp02,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,sesame- ginger_asian_salad_0,aria01_214-1,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,sesame- ginger_asian_salad_0,gp01,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,stainless_spoon_0,aria01_214-1,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,stainless_spoon_0,gp04,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,white_bowl_0,aria01_214-1,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,white_bowl_0,gp01,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,white_bowl_1,aria01_214-1,419,12540,1.0
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,white_bowl_1,gp03,419,12540,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,broken egg_0,aria01_214-1,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,broken egg_0,cam01,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,chilli pepper container_0,aria01_214-1,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,chilli pepper container_0,cam02,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,egg container carrier _0,aria01_214-1,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,egg container carrier _0,cam02,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,egg omelet_0,aria01_214-1,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,frying pan_0,aria01_214-1,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,frying pan_0,cam02,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,garlic container_0,aria01_214-1,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,garlic container_0,cam02,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,gas lighter_0,aria01_214-1,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,gas lighter_0,cam02,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,measuring spoon_0,aria01_214-1,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,measuring spoon_1,aria01_214-1,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,metal bowl_0,aria01_214-1,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,metal bowl_0,cam02,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,salt container_0,aria01_214-1,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,salt container_0,cam02,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,steel bowl_0,aria01_214-1,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,steel bowl_0,cam02,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,steel dinner plate_0,aria01_214-1,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,steel dinner plate_0,cam01,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,turmeric container_0,aria01_214-1,273,8160,1.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,turmeric container_0,cam02,273,8160,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,Steam food pan_0,aria02_214-1,220,6570,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,Steam food pan_0,cam01,220,6570,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,bell pepper_0,aria02_214-1,220,6570,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,bell pepper_0,cam01,220,6570,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,celery_0,aria02_214-1,220,6570,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,celery_0,cam02,220,6570,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,knife_0,aria02_214-1,220,6570,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,knife_0,cam01,220,6570,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,metallic bowl_0,aria02_214-1,220,6570,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,metallic bowl_0,cam01,220,6570,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,paper towel_0,aria02_214-1,220,6570,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,paper towel_0,cam01,220,6570,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,towel holder_0,aria02_214-1,220,6570,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,towel holder_0,cam01,220,6570,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,white bowl_0,aria02_214-1,220,6570,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,white bowl_0,cam01,220,6570,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,wooden chopping board_0,aria02_214-1,220,6570,1.0
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,wooden chopping board_0,cam01,220,6570,1.0
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,black plastic bin_0,aria03_214-1,1156,34650,1.0
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,black plastic bin_0,cam04,1156,34650,1.0
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,carrot_0,aria03_214-1,1156,34650,1.0
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,carrot_0,cam04,1156,34650,1.0
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,celery_0,aria03_214-1,1156,34650,1.0
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,chopped carrot_0,aria03_214-1,1156,34650,1.0
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,chopped celery_0,aria03_214-1,1156,34650,1.0
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,chopped celery_0,cam04,1156,34650,1.0
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,clear plastic container_0,aria03_214-1,1156,34650,1.0
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,clear plastic container_0,cam04,1156,34650,1.0
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,paper towel_0,aria03_214-1,1156,34650,1.0
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,sesame seed container_0,aria03_214-1,1156,34650,1.0
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,soy sauce bottle_0,aria03_214-1,1156,34650,1.0
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,stainless steel counter_0,aria03_214-1,1156,34650,1.0
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,white ceramic plate_0,aria03_214-1,1156,34650,1.0
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,white ceramic plate_0,cam04,1156,34650,1.0
cooking,75cc6a20-2451-4922-844b-3e376e095657,black handle scissors _0,aria02_214-1,529,15840,1.0
cooking,75cc6a20-2451-4922-844b-3e376e095657,black handle scissors _0,cam02,529,15840,1.0
cooking,75cc6a20-2451-4922-844b-3e376e095657,mesh strainer_0,aria02_214-1,529,15840,1.0
cooking,75cc6a20-2451-4922-844b-3e376e095657,mesh strainer_0,cam02,529,15840,1.0
cooking,75cc6a20-2451-4922-844b-3e376e095657,plastic waste bin_0,aria02_214-1,529,15840,1.0
cooking,75cc6a20-2451-4922-844b-3e376e095657,white mug_0,aria02_214-1,529,15840,1.0
cooking,75cc6a20-2451-4922-844b-3e376e095657,white mug_0,cam04,529,15840,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,black knife_0,aria01_214-1,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,black saucepan _0,aria01_214-1,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,black saucepan _0,gp03,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,celery package _0,aria01_214-1,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,celery package _0,gp01,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,celery_0,aria01_214-1,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,celery_0,gp02,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,cooked noodles_0,aria01_214-1,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,cooked noodles_0,gp04,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,ginger package_0,aria01_214-1,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,ginger package_0,gp03,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,glass mug_0,aria01_214-1,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,glass mug_0,gp04,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles package_0,aria01_214-1,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles package_1,aria01_214-1,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles package_1,gp03,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles_0,aria01_214-1,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles_0,gp03,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,oil bottle_0,aria01_214-1,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,onion package_0,aria01_214-1,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,onion package_0,gp02,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,oyster sauce bottle_0,aria01_214-1,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,oyster sauce bottle_0,gp03,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,salt container _0,aria01_214-1,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,salt container _0,gp02,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white bowl_0,aria01_214-1,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white bowl_0,gp01,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white bowl_1,aria01_214-1,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white bowl_1,gp01,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white electric kettle_0,aria01_214-1,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white electric kettle_0,gp02,1071,32100,1.0
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white kitchen tongs_0,aria01_214-1,1071,32100,1.0
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,cucumber_0,aria01_214-1,55,1620,1.0
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,green knife_0,aria01_214-1,55,1620,1.0
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,green knife_0,cam01,55,1620,1.0
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,white bowl_0,aria01_214-1,55,1620,1.0
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,white bowl_0,cam01,55,1620,1.0
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,wooden chopping board_0,aria01_214-1,55,1620,1.0
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,wooden chopping board_0,cam01,55,1620,1.0
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Chopping Board_0,aria01_214-1,282,8430,1.0
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Chopping Board_0,cam01,282,8430,1.0
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Gas Lighter_0,aria01_214-1,282,8430,1.0
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Gas Lighter_0,cam01,282,8430,1.0
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Green Onion_0,aria01_214-1,282,8430,1.0
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Pasteurized Butter Pack_0,aria01_214-1,282,8430,1.0
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Pasteurized Butter Pack_0,cam01,282,8430,1.0
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Pizza Blend Pack_0,aria01_214-1,282,8430,1.0
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Pizza Blend Pack_0,cam01,282,8430,1.0
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Skillet_0,aria01_214-1,282,8430,1.0
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Skillet_0,cam01,282,8430,1.0
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Sliced Tomato_0,aria01_214-1,282,8430,1.0
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Sliced Tomato_0,cam01,282,8430,1.0
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Stainless Steel Bowl_0,aria01_214-1,282,8430,1.0
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Stainless Steel Bowl_0,cam01,282,8430,1.0
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Stainless Steel Flat Plate_0,aria01_214-1,282,8430,1.0
