scenario,take_uid,tracked_object,camera,total_area_change,average_area
basketball,f5ced826-d8ef-42c6-8e6e-2ba287da99d4,hoop,aria01_214-1,434402.0,67552.48
basketball,f5ced826-d8ef-42c6-8e6e-2ba287da99d4,hoop,cam04,23422.0,30336.63
basketball,fcb6b025-6e41-4e97-b4b5-d5fdf0ebd3cb,basketball,aria01_214-1,1299591.0,20610.73
basketball,fcb6b025-6e41-4e97-b4b5-d5fdf0ebd3cb,basketball,cam03,209958.0,5026.5
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Basket_0,aria07_214-1,3031936.0,269793.24
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Basket_0,cam04,704118.0,349312.55
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Bicycle wheel_0,aria07_214-1,1776104.0,131715.69
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Bicycle wheel_0,cam04,5124630.0,622363.31
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Brake cable_1,aria07_214-1,87618.0,6984.58
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Fork_0,aria07_214-1,110099.0,9269.94
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Fork_0,cam04,196369.0,41871.83
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Handlebar_0,aria07_214-1,59516.0,4022.21
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Handlebar_0,cam04,11015.0,2320.63
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Wrench_0,aria07_214-1,75440.0,7260.07
bike repair,181c0eb5-22da-4a00-ad59-37b67622012e,Wrench_0,cam04,70180.0,4299.46
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,bike chain brush pack_0,aria01_214-1,325284.0,11435.26
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,bike chain brush pack_1,aria01_214-1,536723.0,19073.95
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,bike chain brush pack_1,cam01,0.0,1532.0
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,blue liquid container_0,aria01_214-1,131174.0,5787.13
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,water bottle_0,aria01_214-1,242716.0,17057.68
bike repair,1bc1334f-2546-4175-a9f4-b4338f46a246,water bottle_0,cam01,353404.0,65705.73
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,bicycle wheel_0,aria02_214-1,4332551.0,183031.16
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,bicycle wheel_0,cam03,690993.0,169296.17
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,bicycle_0,aria02_214-1,4910361.0,364058.04
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,bicycle_0,cam03,858064.0,980884.38
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,socket wrench_0,aria02_214-1,90296.0,4609.66
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,socket wrench_0,cam04,40876.0,7895.87
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,socket wrench_1,aria02_214-1,56777.0,4057.12
bike repair,5c322676-611b-424f-b00b-e825807dd1fc,socket wrench_1,cam04,42901.0,6386.47
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,Bicycle Pump_0,aria01_214-1,700479.0,15609.36
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,Bicycle Pump_0,cam01,352082.0,10392.83
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,New Bicycle Tube Pack_0,aria01_214-1,81085.0,10284.05
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,New Bicycle Tube Pack_0,cam01,181513.0,10812.21
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,New Bicycle Tube_0,aria01_214-1,643829.0,23375.73
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,New Tube Wrapper_0,aria01_214-1,230976.0,17005.67
bike repair,61b218b2-52fb-465f-855f-41e5164d7998,New Tube Wrapper_0,cam01,148565.0,10793.37
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle fork_0,aria01_214-1,479310.0,38241.02
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle fork_0,cam02,69380.0,19607.11
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle repair stand_0,aria01_214-1,300875.0,31437.48
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle repair stand_0,cam02,106480.0,133127.74
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle wheel_0,aria01_214-1,3792493.0,241893.87
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle wheel_0,cam02,1208404.0,154914.86
bike repair,661178ca-8174-4469-bf18-ca8d40c4d7b9,bicycle_0,aria01_214-1,4565910.0,352024.67
bike repair,673f2b3e-413a-4450-aca8-ffbfb56db7be,bicycle tire tube_0,aria01_214-1,245835.0,11516.8
bike repair,673f2b3e-413a-4450-aca8-ffbfb56db7be,bicycle tire tube_0,cam01,152264.0,17317.07
bike repair,673f2b3e-413a-4450-aca8-ffbfb56db7be,tire pump_0,aria01_214-1,640555.0,15122.26
bike repair,673f2b3e-413a-4450-aca8-ffbfb56db7be,tire pump_0,cam01,230887.0,40890.61
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle fork_0,aria01_214-1,57383.0,13450.73
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle fork_0,cam04,101461.0,30882.6
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle grip_0,aria01_214-1,659859.0,156220.69
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle grip_0,cam04,92844.0,58261.9
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle stand_0,aria01_214-1,335834.0,61227.16
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle stand_0,cam04,52745.0,760454.6
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle wheel_0,aria01_214-1,263469.0,32547.3
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,bicycle wheel_0,cam04,539555.0,240442.0
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,black tools trolley_0,aria01_214-1,142506.0,59960.67
bike repair,6ba1dc31-7a08-4e92-aaad-5954bce6a7da,black tools trolley_0,cam04,318329.0,53729.75
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,bicycle_chain_cleaning_brush_0,aria01_214-1,130984.0,2610.69
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,bicycle_chain_cleaning_brush_0,cam01,21207.0,5263.74
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,bicycle_pedal_0,aria01_214-1,1243677.0,15254.33
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,bicycle_pedal_0,cam01,89811.0,18939.59
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,steel_table_0,aria01_214-1,743296.0,120512.55
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,steel_table_0,cam01,1010245.0,154825.72
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,water_bottle_0,aria01_214-1,133895.0,30900.33
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,white_napkin_0,aria01_214-1,1489978.0,24362.95
bike repair,83decc40-f9da-469a-9ce2-1d173b06e5b3,white_napkin_0,cam01,76628.0,11427.83
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,Inner tube_0,aria03_214-1,219168.0,5307.85
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,bicycle stand_0,aria03_214-1,968317.0,33744.62
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,bicycle stand_0,cam03,284246.0,144692.56
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,bike chain_0,aria03_214-1,152274.0,9262.42
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,blue and white toothbrush_0,aria03_214-1,69169.0,2018.03
bike repair,a4b3be28-cc60-43f9-8158-0e098eb5aa82,bottle water_0,aria03_214-1,489968.0,23757.19
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,bicycle tube_0,aria02_214-1,447634.0,16066.31
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,bicycle tube_0,cam03,185054.0,34573.81
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,bicycle wheel_0,aria02_214-1,4290007.0,157535.69
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,bicycle wheel_0,cam03,1104545.0,287340.25
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,socket wrench_0,aria02_214-1,82574.0,4165.13
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,socket wrench_0,cam03,23341.0,865.3
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,socket wrench_1,aria02_214-1,63830.0,4463.52
bike repair,f72deca0-a765-46d3-abcd-9e4a0f7575d9,socket wrench_1,cam01,15550.0,5403.55
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_handle_knife_0,aria01_214-1,236887.0,4231.53
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_handle_knife_0,gp01,92194.0,3028.18
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_tea_package_0,aria01_214-1,479529.0,34261.24
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_tea_package_0,gp04,6248.0,4657.82
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_tea_sachet_0,aria01_214-1,72509.0,7895.64
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,black_tea_sachet_0,gp02,4330.0,1450.42
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,blue_chopping_board_0,aria01_214-1,2558731.0,49817.6
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,blue_chopping_board_0,gp03,1318077.0,31156.67
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,electric_kettle_0,aria01_214-1,1743116.0,33127.39
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,electric_kettle_0,gp03,682275.0,17123.14
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,kitchen_paper_0,aria01_214-1,95394.0,12130.55
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,kitchen_paper_0,gp01,22048.0,2700.22
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,nonstick_pan_0,aria01_214-1,762624.0,14661.8
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,nonstick_pan_0,gp03,244996.0,12074.7
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,patterned mug_0,aria01_214-1,522328.0,13453.4
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,patterned mug_0,gp02,231946.0,5896.73
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,sesame- ginger_asian_salad_0,aria01_214-1,225058.0,4938.45
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,sesame- ginger_asian_salad_0,gp01,9066.0,3092.5
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,stainless_spoon_0,aria01_214-1,131922.0,2286.47
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,stainless_spoon_0,gp04,43574.0,2275.49
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,white_bowl_0,aria01_214-1,411925.0,11989.03
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,white_bowl_0,gp01,24208.0,13966.19
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,white_bowl_1,aria01_214-1,483150.0,8506.83
cooking,0efd9fc1-0f49-403d-9252-93f119a3ea3c,white_bowl_1,gp03,82230.0,30481.18
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,broken egg_0,aria01_214-1,24981.0,1559.14
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,broken egg_0,cam01,0.0,3399.0
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,chilli pepper container_0,aria01_214-1,679719.0,12518.44
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,chilli pepper container_0,cam02,188584.0,159001.38
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,egg container carrier _0,aria01_214-1,1111470.0,40941.45
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,egg omelet_0,aria01_214-1,139500.0,44802.67
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,frying pan_0,aria01_214-1,2501447.0,59028.75
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,frying pan_0,cam02,2052223.0,197470.72
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,garlic container_0,aria01_214-1,276749.0,8394.72
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,garlic container_0,cam02,54058.0,56955.33
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,gas lighter_0,aria01_214-1,100523.0,2875.22
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,gas lighter_0,cam02,9072.0,2775.75
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,measuring spoon_0,aria01_214-1,6817.0,2786.17
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,measuring spoon_1,aria01_214-1,2422.0,2038.67
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,metal bowl_0,aria01_214-1,952385.0,14201.1
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,metal bowl_0,cam02,1055517.0,66712.57
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,salt container_0,aria01_214-1,401601.0,7714.63
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,salt container_0,cam02,70834.0,84715.86
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,steel bowl_0,aria01_214-1,247825.0,4337.42
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,steel dinner plate_0,aria01_214-1,377480.0,12026.36
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,steel dinner plate_0,cam01,264780.0,10549.41
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,turmeric container_0,aria01_214-1,392802.0,8679.43
cooking,1f541cce-f10b-4cd3-814f-8e2d527df8f5,turmeric container_0,cam02,237152.0,75261.92
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,Steam food pan_0,aria02_214-1,1752009.0,67085.44
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,Steam food pan_0,cam01,135461.0,61016.23
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,bell pepper_0,aria02_214-1,268841.0,5081.69
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,bell pepper_0,cam01,42294.0,3698.63
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,celery_0,aria02_214-1,138710.0,10793.17
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,celery_0,cam02,81192.0,10247.91
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,knife_0,aria02_214-1,529942.0,7262.28
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,knife_0,cam01,356533.0,13215.66
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,metallic bowl_0,aria02_214-1,3017492.0,68965.01
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,metallic bowl_0,cam01,980300.0,108665.68
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,paper towel_0,aria02_214-1,345357.0,5439.14
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,paper towel_0,cam01,62528.0,13164.95
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,towel holder_0,aria02_214-1,714054.0,17620.8
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,towel holder_0,cam01,2192.0,40363.9
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,white bowl_0,aria02_214-1,543350.0,12555.27
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,white bowl_0,cam01,155453.0,75442.15
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,wooden chopping board_0,aria02_214-1,8426420.0,249162.34
cooking,5d4abe32-590d-470d-8fd1-4585833afaad,wooden chopping board_0,cam01,1789989.0,207934.32
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,black plastic bin_0,aria03_214-1,275894.0,40592.0
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,carrot_0,aria03_214-1,336632.0,2691.76
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,carrot_0,cam04,252021.0,8169.72
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,celery_0,aria03_214-1,634208.0,3920.65
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,chopped carrot_0,aria03_214-1,919381.0,18042.67
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,chopped celery_0,aria03_214-1,20909.0,6414.94
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,chopped celery_0,cam04,26849.0,4053.61
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,clear plastic container_0,aria03_214-1,793452.0,5524.91
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,clear plastic container_0,cam04,66433.0,28719.41
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,paper towel_0,aria03_214-1,3287640.0,16256.81
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,sesame seed container_0,aria03_214-1,537246.0,3316.52
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,soy sauce bottle_0,aria03_214-1,930276.0,6055.19
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,stainless steel counter_0,aria03_214-1,23619593.0,60348.26
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,white ceramic plate_0,aria03_214-1,5587321.0,31723.75
cooking,72fa7531-64a3-45fe-8e50-80906ffeb40a,white ceramic plate_0,cam04,1172110.0,118568.87
cooking,75cc6a20-2451-4922-844b-3e376e095657,black handle scissors _0,aria02_214-1,85441.0,2786.91
cooking,75cc6a20-2451-4922-844b-3e376e095657,black handle scissors _0,cam02,37166.0,878.09
cooking,75cc6a20-2451-4922-844b-3e376e095657,mesh strainer_0,aria02_214-1,874667.0,12051.62
cooking,75cc6a20-2451-4922-844b-3e376e095657,mesh strainer_0,cam02,217522.0,24299.06
cooking,75cc6a20-2451-4922-844b-3e376e095657,plastic waste bin_0,aria02_214-1,167570.0,40033.2
cooking,75cc6a20-2451-4922-844b-3e376e095657,white mug_0,aria02_214-1,1160316.0,16314.09
cooking,75cc6a20-2451-4922-844b-3e376e095657,white mug_0,cam04,271053.0,5951.75
cooking,8acb2112-465c-4088-b502-65fd9704dd77,black knife_0,aria01_214-1,1356798.0,6415.69
cooking,8acb2112-465c-4088-b502-65fd9704dd77,black saucepan _0,aria01_214-1,4266684.0,25147.41
cooking,8acb2112-465c-4088-b502-65fd9704dd77,black saucepan _0,gp03,762778.0,11144.55
cooking,8acb2112-465c-4088-b502-65fd9704dd77,celery package _0,aria01_214-1,153449.0,9993.72
cooking,8acb2112-465c-4088-b502-65fd9704dd77,celery_0,aria01_214-1,23041.0,3702.13
cooking,8acb2112-465c-4088-b502-65fd9704dd77,celery_0,gp02,8992.0,1356.38
cooking,8acb2112-465c-4088-b502-65fd9704dd77,cooked noodles_0,aria01_214-1,61221.0,12630.32
cooking,8acb2112-465c-4088-b502-65fd9704dd77,cooked noodles_0,gp04,17944.0,4026.67
cooking,8acb2112-465c-4088-b502-65fd9704dd77,ginger package_0,aria01_214-1,696915.0,5027.46
cooking,8acb2112-465c-4088-b502-65fd9704dd77,ginger package_0,gp03,115204.0,22790.59
cooking,8acb2112-465c-4088-b502-65fd9704dd77,glass mug_0,aria01_214-1,433497.0,3538.86
cooking,8acb2112-465c-4088-b502-65fd9704dd77,glass mug_0,gp04,56103.0,3276.18
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles package_0,aria01_214-1,1223001.0,11752.84
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles package_1,aria01_214-1,1612525.0,16093.12
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles package_1,gp03,219321.0,79470.51
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles_0,aria01_214-1,786838.0,7998.23
cooking,8acb2112-465c-4088-b502-65fd9704dd77,noodles_0,gp03,59855.0,599.39
cooking,8acb2112-465c-4088-b502-65fd9704dd77,oil bottle_0,aria01_214-1,982580.0,12577.84
cooking,8acb2112-465c-4088-b502-65fd9704dd77,onion package_0,aria01_214-1,67328.0,6887.12
cooking,8acb2112-465c-4088-b502-65fd9704dd77,oyster sauce bottle_0,aria01_214-1,662745.0,5500.12
cooking,8acb2112-465c-4088-b502-65fd9704dd77,oyster sauce bottle_0,gp03,98748.0,5795.44
cooking,8acb2112-465c-4088-b502-65fd9704dd77,salt container _0,aria01_214-1,1556533.0,9894.9
cooking,8acb2112-465c-4088-b502-65fd9704dd77,salt container _0,gp02,299122.0,19618.3
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white bowl_0,aria01_214-1,1510794.0,15800.29
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white bowl_0,gp01,129540.0,4337.21
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white bowl_1,aria01_214-1,308897.0,20543.08
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white bowl_1,gp01,132168.0,4547.4
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white electric kettle_0,aria01_214-1,3325989.0,28311.05
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white electric kettle_0,gp02,1869046.0,47958.96
cooking,8acb2112-465c-4088-b502-65fd9704dd77,white kitchen tongs_0,aria01_214-1,552471.0,3309.6
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,cucumber_0,aria01_214-1,12515.0,8546.8
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,green knife_0,aria01_214-1,63093.0,2526.18
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,green knife_0,cam01,31465.0,1399.34
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,white bowl_0,aria01_214-1,272924.0,20875.28
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,white bowl_0,cam01,190967.0,16401.74
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,wooden chopping board_0,aria01_214-1,414959.0,25021.73
cooking,961e4bc4-8a41-4f0c-ba12-bc198b9b15f2,wooden chopping board_0,cam01,165876.0,18245.73
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Chopping Board_0,aria01_214-1,2738028.0,42880.01
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Chopping Board_0,cam01,256974.0,224783.48
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Gas Lighter_0,aria01_214-1,193103.0,3486.88
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Gas Lighter_0,cam01,93113.0,22605.71
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Green Onion_0,aria01_214-1,110305.0,10118.74
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Pasteurized Butter Pack_0,aria01_214-1,422243.0,11816.51
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Pasteurized Butter Pack_0,cam01,5470.0,4668.5
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Pizza Blend Pack_0,aria01_214-1,1069847.0,25627.74
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Pizza Blend Pack_0,cam01,257975.0,72143.62
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Skillet_0,aria01_214-1,1906965.0,38221.26
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Skillet_0,cam01,2556850.0,84692.25
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Sliced Tomato_0,aria01_214-1,324788.0,4877.97
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Sliced Tomato_0,cam01,5865.0,6284.67
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Stainless Steel Bowl_0,aria01_214-1,1197705.0,19575.45
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Stainless Steel Bowl_0,cam01,370230.0,69538.31
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Stainless Steel Flat Plate_0,aria01_214-1,970785.0,36281.11
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Stainless Steel Flat Plate_0,cam01,965047.0,13986.78
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,bowl of milk_0,aria01_214-1,403596.0,33871.18
